row,Hospital,year1,year2,year3,year4,
3359,Total Operating Expenses,"$227,450,970","$240,315,931","$245,407,419","$253,532,594",
3360,Income/(Loss) from Operations,"-$8,069,534","-$8,909,304","-$12,360,105","-$4,986,257",
3361,Non Operating Revenue,"$2,766,348","$2,069,251","$1,875,322","$3,066,686",
3362,Excess/(Deficiency) of Revenue over Expenses,"-$5,303,186","-$6,840,053","-$10,484,783","-$1,919,571",
3363,*Source: Hospital Audited Financial Statements,,,,,100
3365,KEY RESULTS - WATERBURY HOSPITAL,,,,,
3367,PROFITABILITY SUMMARY,2006,2007,2008,2009,
3368,Hospital Operating Margins,-3.63%,-3.82%,-5.26%,-1.98%,
3369,Hospital Non Operating Margins,1.25%,0.89%,0.80%,1.22%,
3370,Hospital Total Margins,-2.39%,-2.93%,-4.46%,-0.76%,
3371,COST DATA SUMMARY,,,,,
3372,Ratio of cost to charges,0.35,0.32,0.31,0.30,
3373,Private Payment to Cost Ratio,1.15,1.13,1.15,1.09,
3374,Medicare Payment to Cost Ratio,0.88,0.92,0.91,0.88,
3375,Medicaid Payment to Cost Ratio,0.74,0.73,0.66,0.68,
3376,LIQUIDITY MEASURES SUMMARY,,,,,
3377,Current Ratio,2.03,1.74,1.63,2.00,
3378,Days cash on hand,20,6,16,22,
3379,Days in patients accounts receivable,51,51,57,45,
3380,Average Payment Period,42,44,48,37,
3381,SOLVENCY MEASURES SUMMARY,,,,,
3382,Equity financing ratio,66.5,67.9,62.9,61.5,
3383,Cash flow to total debt ratio,8.1,7.1,-1.7,16.3,
3384,Long-term debt to Capitalization Ratio,17.8,15.0,16.5,17.0,
3385,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
3386,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
3387,NET ASSETS SUMMARY,,,,,
3388,Hospital Unrestricted Net Assets,"$66,152,139","$58,964,722","$47,953,352","$44,636,663",
3389,Hospital Total Net Assets,"$124,628,134","$122,516,497","$99,996,300","$93,058,584",
3390,UTILIZATION MEASURES SUMMARY,,,,,
3391,Patient Days,"71,081","71,532","70,997","67,682",
3392,Discharges,"15,000","14,584","14,736","13,916",
3393,ALOS,4.7,4.9,4.8,4.9,
3394,Staffed Beds,271,235,238,214,
3395,Available Beds,292,292,292,292,
3396,Licensed Beds,393,393,393,393,
3397,Occupancy of staffed beds,72%,83%,82%,87%,
3398,Occupancy of available beds,67%,67%,67%,64%,
3399,Full Time Equivalent Employees,"1,703.0","1,647.9","1,625.0","1,589.2",
3400,101,,,,,
3401,KEY RESULTS - WATERBURY HOSPITAL,,,,,
3403,DISCHARGES,2006,2007,2008,2009,
3404,Non-Government (Including Uninsured),"5,445","5,265","4,942","4,524",
3405,Medicare,"6,658","6,299","6,566","6,496",
3406,Medical Assistance,"2,890","3,009","3,216","2,881",
3407,Medicaid,"2,394","2,496","2,730","2,363",
3408,Other Medical Assistance,496,513,486,518,
3409,Champus / TRICARE,7,11,12,15,
3410,Uninsured (Included in Non-Government),342,345,335,265,
3411,Total Discharges,"15,000","14,584","14,736","13,916",
3412,CASE MIX INDEX,,,,,
3413,Non-Government (Including Uninsured),1.0972,1.1407,1.1925,1.2937,
3414,Medicare,1.3699,1.4471,1.5816,1.5927,
3415,Medical Assistance,0.8158,0.9077,1.0058,1.756,
3416,Medicaid,0.7731,0.8737,0.9802,1.8863,
3417,Other Medical Assistance,1.0219,1.073,1.1499,1.1616,
3418,Champus / TRICARE,0.5673,1.19,1.3294,1.6601,
3419,Uninsured (Included in Non-Government),1.0809,1.0742,1.119,1.1466,
3420,Total Case Mix Index,1.1638,1.225,1.3252,1.5294,
3421,UNCOMPENSATED CARE,,,,,
3422,Charity Care,"$2,821,642","$2,019,940","$2,588,984","$1,809,921",
3423,Bad Debts,"$14,229,884","$21,806,478","$17,717,523","$14,319,487",
3424,Total Uncompensated Care Charges,"$17,051,526","$23,826,418","$20,306,507","$16,129,408",
3425,Uncompensated Care Cost,"$5,894,939","$7,696,214","$6,390,261","$4,766,186",
3426,Uncompensated care % of total expenses,2.8%,3.5%,2.8%,1.9%,
3427,EMERGENCY DEPARTMENT VISITS,,,,,
3428,Emergency Room - Treated and Admitted,"8,828","9,065","9,294","8,895",
3429,Emergency Room - Treated and Discharged,"47,503","44,759","45,166","49,237",
3430,Total Emergency Room Visits,"56,331","53,824","54,460","58,132",
3432,102,,,,,
3434,WINDHAM COMMUNITY MEMORIAL HOSPITAL,,,,,
3436,"Windham Community Memorial Hospital, founded in 1908 is located in Willimantic.  In FY",,,,,
3437,"2009, the Hospital generated $606,000 in income from operations and experienced a $1.8 non-",,,,,
3438,"operating loss, resulting in a deficiency of revenues over expenses of $1.2 million.  The Hospital",,,,,
3439,"reported 5,343 discharges and 20,696 patient days while staffing 87 of its 144 available beds.",,,,,
3440,"Reported below is a chart indicating all of the affiliates of Hartford Healthcare Corporation, the",,,,,
3441,"parent corporation of the Hospital, Hartford Hospital and Midstate Medical Center, followed by",,,,,
3442,various financial indicators and selected utilization measures.,,,,,
3444,HARTFORD,,,,,
3445,HEALTH CARE,,,,,
3446,CORPORATION,,,,,
3448,Clinical Laboratory,MidState Medical,Hartford Hospital,H.H.M.O.B.,Windham,
3449,"Partners, LLC",Center,(Jefferson House),Corporation,Community,
3450,(Lab),,,(Real Estate),Memorial Hospital,
3451,"Rushford Center,",Meriden Imaging,,Immediate Medical,Windham Health,
3453,Inc.,"Center, Inc.",(Mental Health Facility),,,
3454,(Mental Health Facility),(Imaging Services),,(Other Health Care,(Other Health Care,
3457,Natchaug Hospital,"Midstate MSO, LLC","Clinical Systems,",Rehabilitation,Windham Hospital,
3458,(Mental Health Facility),,"Inc., LLC",Network,Foundation,
3460,VNA  Health,,,,Windham,
3461,"Care, Inc.",,CHS Insurance,,Professional Office,
3462,(Affiliate Support,,Limited,,,
3463,Services),,,,Condo Association,
3465,VNA Health,,,,,
3466,Resources,,,,,
3467,(Home Health VNAs),,,,,
3468,For Profit Entity,,,,,
3471,Medicaid,,Medicaid,,,
3472,14%,Uninsured,12%,,,
3474,Medical,2%,Medical,0%,,
3475,Assistance,,Assistance,,,
3476,5%,,2%,,,
3477,Non-,,,,,
3478,Non-,,,,,
3479,Government,,,,,
3480,Government,,,,,
3481,39%,43%,,,,
3482,Medicare,Medicare,,,,
3483,40%,43%,,,,
3485,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
3486,Net Patient Revenue,"$73,886,641","$76,196,541","$81,011,511","$83,605,148",
3487,Other Operating Revenue,"$2,217,843","$5,646,903","$4,257,607","$2,401,877",
3488,Total Operating Revenue,"$76,104,484","$81,843,444","$85,269,118","$86,007,025",
3489,Total Operating Expenses,"$76,054,844","$81,098,944","$83,487,134","$85,401,157",
3490,Income/(Loss) from Operations,"$49,640","$744,500","$1,781,984","$605,868",
3491,Non Operating Revenue,"$535,279","$1,627,039","$310,467","-$1,790,872",
3492,Excess/(Deficiency) of Revenue over Expenses,"$584,919","$2,371,539","$2,092,451","-$1,185,004",
3493,103,*Source: Hospital Audited Financial Statements,,,,
3495,KEY RESULTS - WINDHAM COMMUNITY MEMORIAL HOSPITAL,,,,,
3497,PROFITABILITY SUMMARY,2006,2007,2008,2009,
3498,Hospital Operating Margins,0.06%,0.89%,2.08%,0.72%,
3499,Hospital Non Operating Margins,0.70%,1.95%,0.36%,-2.13%,
3500,Hospital Total Margins,0.76%,2.84%,2.45%,-1.41%,
3501,COST DATA SUMMARY,,,,,
3502,Ratio of cost to charges,0.41,0.37,0.39,0.45,
3503,Private Payment to Cost Ratio,1.14,1.14,1.10,1.02,
3504,Medicare Payment to Cost Ratio,0.95,1.01,1.12,0.98,
3505,Medicaid Payment to Cost Ratio,0.88,0.89,0.85,0.82,
3506,LIQUIDITY MEASURES SUMMARY,,,,,
3507,Current Ratio,1.89,2.28,2.57,2.63,
3508,Days cash on hand,5,5,13,15,
3509,Days in patients accounts receivable,75,70,64,63,
3510,Average Payment Period,61,44,43,41,
3511,SOLVENCY MEASURES SUMMARY,,,,,
3512,Equity financing ratio,16.2,18.6,18.9,-28.9,
3513,Cash flow to total debt ratio,14.3,26.6,20.8,11.2,
3514,Long-term debt to Capitalization Ratio,57.5,52.3,60.1,-4164.0,
3515,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
3516,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
3517,NET ASSETS SUMMARY,,,,,
3518,Hospital Unrestricted Net Assets,"$5,377,884","$8,993,301","$10,143,299","-$25,502,905",
3519,Hospital Total Net Assets,"$10,883,758","$12,692,298","$13,271,987","-$20,171,322",
3520,UTILIZATION MEASURES SUMMARY,,,,,
3521,Patient Days,"19,996","21,595","21,050","20,696",
3522,Discharges,"5,375","5,713","5,744","5,343",
3523,ALOS,3.7,3.8,3.7,3.9,
3524,Staffed Beds,87,87,87,87,
3525,Available Beds,79,79,144,144,
3526,Licensed Beds,144,144,144,144,
3527,Occupancy of staffed beds,63%,68%,66%,65%,
3528,Occupancy of available beds,73%,75%,40%,39%,
3529,Full Time Equivalent Employees,555.0,584.0,594.8,608.0,104
3531,KEY RESULTS - WINDHAM COMMUNITY MEMORIAL HOSPITAL,,,,,
3533,DISCHARGES,2006,2007,2008,2009,
3534,Non-Government (Including Uninsured),"1,696","1,750","1,707","1,601",
3535,Medicare,"2,426","2,656","2,628","2,534",
3536,Medical Assistance,"1,238","1,289","1,397","1,195",
3537,Medicaid,"1,052","1,006","1,144",961,
3538,Other Medical Assistance,186,283,253,234,
3539,Champus / TRICARE,15,18,12,13,
3540,Uninsured (Included in Non-Government),115,124,143,87,
3541,Total Discharges,"5,375","5,713","5,744","5,343",
3542,CASE MIX INDEX,,,,,
3543,Non-Government (Including Uninsured),0.8923,0.8969,0.9449,0.942,
3544,Medicare,1.1573,1.1808,1.169,1.1832,
3545,Medical Assistance,0.7411,0.8099,0.8003,0.7795,
3546,Medicaid,0.7119,0.7311,0.7563,0.7489,
3547,Other Medical Assistance,0.9063,1.0898,0.9991,0.9052,
3548,Champus / TRICARE,0.9666,0.8635,1.0473,0.955,
3549,Uninsured (Included in Non-Government),1.0799,0.8341,1.051,0.836,
3550,Total Case Mix Index,0.9773,1.0091,1.0125,1.0201,
3551,UNCOMPENSATED CARE,,,,,
3552,Charity Care,"$2,031,508","$2,102,088","$2,586,401","$2,094,259",
3553,Bad Debts,"$4,238,257","$4,847,427","$4,249,703","$4,141,249",
3554,Total Uncompensated Care Charges,"$6,269,765","$6,949,515","$6,836,104","$6,235,508",
3555,Uncompensated Care Cost,"$2,598,523","$2,568,964","$2,644,909","$2,800,025",
3556,Uncompensated care % of total expenses,3.7%,3.6%,3.5%,3.3%,
3557,EMERGENCY DEPARTMENT VISITS,,,,,
3558,Emergency Room - Treated and Admitted,"3,545","3,987","3,890","3,721",
3559,Emergency Room - Treated and Discharged,"19,937","22,515","24,778","26,293",
3560,Total Emergency Room Visits,"23,482","26,502","28,668","30,014",
3562,105,,,,,
3564,YALE-NEW HAVEN HOSPITAL,,,,,
3566,"Yale-New Haven Hospital, founded in 1826, is located in New Haven.  In FY 2009, the Hospital",,,,,
3567,generated $67.4 million in income from operations and experienced a $14.5 million non-operating,,,,,
3568,"loss, resulting in an excess of revenues over expenses of $52.9 million.  The Hospital reported",,,,,
3569,"54,408 discharges and 279,599 patient days while staffing 851 of its 895 available beds.  Reported",,,,,
3570,"below is a chart indicating all of the affiliates of Yale New Haven Network Corporation, the",,,,,
3571,parent corporation of the Hospital and an affiliate of the larger Yale-New Haven Health Services,,,,,
3572,"Corporation which includes Bridgeport Hospital and Greenwich Hospital, followed by various",,,,,
3573,financial indicators and selected utilization measures.,,,,,
3575,YNHH - Physicians,YALE-NEW HAVEN,The New Clinical,,,
3576,Corporation,HEALTH SERVICES,Program Development,,,
3581,"YNHH-MSO,Inc.",,,"Care Services, Inc.",,
3584,Yale-New Haven,Yale New Haven,Community Healthcare,York Enterprises,,
3585,Ambulatory Serv. Corp.,"Hospital, Inc.",Physicians,Inc.,,
3586,Yale New Haven,,,,,
3587,Shoreline Surgery,Yale New Haven,"Quinnipiac Medical, PC",Medical Center Realty,,
3588,"Medical Center, Inc.",,,,,
3589,"Center, LLC",,,,,
3591,Medical Center,,,,,
3592,"SSC II, LLC",YNH Geriatric,Pharmacy and Home,,,
3595,Century Financial,Temple Women’s,,,,
3596,Ambulatory Center,YNH Medical,"Services, Inc. and",,,
3597,Division,Services PC,Subsidary,,,
3599,Temple Imaging Center,,,,,
3600,Division,,,,,
3602,Temple Ambulatory,,,,,
3603,Surgery Center Division,,,,,
3604,For Profit Entity,,,,,
3606,Recovery Care Center,,,,,
3607,Division,,,,,
3609,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
3610,Medicaid,Uninsured,,Medicaid,,
3611,18%,3%,,11%,,
3613,Medical,,Medical,,2%,
3614,Assistance,,Assistance,,,
3615,4%,Non-,2%,,,
3619,Medicare,,32%,,Government,
3620,33%,,,,53%,
3621,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,,2006,2007,2008,2009
3622,Net Patient Revenue,,"$829,746,000","$934,600,000","$1,049,416,000","$1,196,644,000"
3623,Other Operating Revenue,,"$40,351,000","$39,970,000","$57,588,000","$40,468,000"
3624,Total Operating Revenue,,"$870,097,000","$974,570,000","$1,107,004,000","$1,237,112,000"
3625,Total Operating Expenses,,"$851,297,000","$955,964,000","$1,057,913,000","$1,169,696,000"
3626,Income/(Loss) from Operations,,"$18,800,000","$18,606,000","$49,091,000","$67,416,000"
3627,Non Operating Revenue,,"$15,518,000","$26,517,000","-$48,401,000","-$14,515,000"
3628,Excess/(Deficiency) of Revenue over Expenses,,"$34,318,000","$45,123,000","$690,000","$52,901,000"
3630,106,,,,,
3631,*Source: Hospital Audited Financial Statements,,,,,
3633,KEY RESULTS - YALE-NEW HAVEN HOSPITAL,,,,,
3635,PROFITABILITY SUMMARY,2006,2007,2008,2009,
3636,Hospital Operating Margins,2.12%,1.86%,4.64%,5.51%,
3637,Hospital Non Operating Margins,1.75%,2.65%,-4.57%,-1.19%,
3638,Hospital Total Margins,3.88%,4.51%,0.07%,4.33%,
3639,COST DATA SUMMARY,,,,,
3640,Ratio of cost to charges,0.37,0.34,0.33,0.33,
3641,Private Payment to Cost Ratio,1.22,1.21,1.24,1.24,
3642,Medicare Payment to Cost Ratio,1.05,1.05,1.08,0.97,
3643,Medicaid Payment to Cost Ratio,0.62,0.59,0.70,0.63,
3644,LIQUIDITY MEASURES SUMMARY,,,,,
3645,Current Ratio,1.82,2.65,3.62,3.33,
3646,Days cash on hand,42,85,158,165,
3647,Days in patients accounts receivable,46,49,42,38,
3648,Average Payment Period,58,58,60,67,
3649,SOLVENCY MEASURES SUMMARY,,,,,
3650,Equity financing ratio,46.8,46.5,42.8,37.4,
3651,Cash flow to total debt ratio,13.3,16.0,7.5,16.1,
3652,Long-term debt to Capitalization Ratio,40.0,38.0,38.9,39.8,
3653,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
3654,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
3655,NET ASSETS SUMMARY,,,,,
3656,Hospital Unrestricted Net Assets,"$476,690,000","$524,025,000","$513,076,000","$514,304,000",
3657,Hospital Total Net Assets,"$602,675,000","$650,782,000","$620,423,000","$587,531,000",
3658,UTILIZATION MEASURES SUMMARY,,,,,
3659,Patient Days,"262,625","267,144","272,757","279,599",
3660,Discharges,"50,368","51,478","52,124","54,408",
3661,ALOS,5.2,5.2,5.2,5.1,
3662,Staffed Beds,875,897,752,851,
3663,Available Beds,805,817,847,895,
3664,Licensed Beds,944,944,944,944,
3665,Occupancy of staffed beds,82%,82%,99%,90%,
3666,Occupancy of available beds,89%,90%,88%,86%,
3667,Full Time Equivalent Employees,"5,196.0","5,958.0","6,343.9","6,648.0",
3668,107,,,,,
3669,KEY RESULTS - YALE-NEW HAVEN HOSPITAL,,,,,
3671,DISCHARGES,2006,2007,2008,2009,
3672,Non-Government (Including Uninsured),"23,351","23,560","23,461","23,910",
3673,Medicare,"14,165","14,737","15,721","16,762",
3674,Medical Assistance,"12,591","12,910","12,614","13,431",
3675,Medicaid,"10,412","10,555","10,281","10,822",
3676,Other Medical Assistance,"2,179","2,355","2,333","2,609",
3677,Champus / TRICARE,261,271,328,305,
3678,Uninsured (Included in Non-Government),"1,334","1,568","1,559","1,533",
3679,Total Discharges,"50,368","51,478","52,124","54,408",
3680,CASE MIX INDEX,,,,,
3681,Non-Government (Including Uninsured),1.1987,1.1882,1.2738,1.2748,
3682,Medicare,1.6186,1.6122,1.6591,1.6653,
3683,Medical Assistance,1.0083,1.0303,1.1505,1.1494,
3684,Medicaid,0.9791,0.9972,1.1324,1.1299,
3685,Other Medical Assistance,1.1478,1.1784,1.2302,1.2302,
3686,Champus / TRICARE,1.3339,1.5307,1.4931,1.4929,
3687,Uninsured (Included in Non-Government),1.1049,1.1199,1.2664,1.2775,
3688,Total Case Mix Index,1.2699,1.2718,1.3615,1.3654,
3689,UNCOMPENSATED CARE,,,,,
3690,Charity Care,"$11,981,000","$15,690,901","$21,323,315","$27,032,315",
3691,Bad Debts,"$38,489,818","$48,636,474","$64,422,171","$70,527,250",
3692,Total Uncompensated Care Charges,"$50,470,818","$64,327,375","$85,745,486","$97,559,565",
3693,Uncompensated Care Cost,"$18,715,926","$21,814,064","$28,433,056","$32,346,108",
3694,Uncompensated care % of total expenses,2.3%,2.4%,2.9%,2.8%,
3695,EMERGENCY DEPARTMENT VISITS,,,,,
3696,Emergency Room - Treated and Admitted,"23,923","26,834","26,849","26,820",
3697,Emergency Room - Treated and Discharged,"89,998","95,941","96,073","101,582",
3698,Total Emergency Room Visits,"113,921","122,775","122,922","128,402",
